NOP: 0x00 -> x = 0, y = 0, z = 0
LD: 0x01 -> x = 0, y = 0, z = 1
LD: 0x02 -> x = 0, y = 0, z = 2
INC: 0x03 -> x = 0, y = 0, z = 3
INC: 0x04 -> x = 0, y = 0, z = 4
DEC: 0x05 -> x = 0, y = 0, z = 5
LD: 0x06 -> x = 0, y = 0, z = 6
RLCA: 0x07 -> x = 0, y = 0, z = 7
LD: 0x08 -> x = 0, y = 1, z = 0
ADD: 0x09 -> x = 0, y = 1, z = 1
LD: 0x0A -> x = 0, y = 1, z = 2
DEC: 0x0B -> x = 0, y = 1, z = 3
INC: 0x0C -> x = 0, y = 1, z = 4
DEC: 0x0D -> x = 0, y = 1, z = 5
LD: 0x0E -> x = 0, y = 1, z = 6
RRCA: 0x0F -> x = 0, y = 1, z = 7
STOP: 0x10 -> x = 0, y = 2, z = 0
LD: 0x11 -> x = 0, y = 2, z = 1
LD: 0x12 -> x = 0, y = 2, z = 2
INC: 0x13 -> x = 0, y = 2, z = 3
INC: 0x14 -> x = 0, y = 2, z = 4
DEC: 0x15 -> x = 0, y = 2, z = 5
LD: 0x16 -> x = 0, y = 2, z = 6
RLA: 0x17 -> x = 0, y = 2, z = 7
JR: 0x18 -> x = 0, y = 3, z = 0
ADD: 0x19 -> x = 0, y = 3, z = 1
LD: 0x1A -> x = 0, y = 3, z = 2
DEC: 0x1B -> x = 0, y = 3, z = 3
INC: 0x1C -> x = 0, y = 3, z = 4
DEC: 0x1D -> x = 0, y = 3, z = 5
LD: 0x1E -> x = 0, y = 3, z = 6
RRA: 0x1F -> x = 0, y = 3, z = 7
JR: 0x20 -> x = 0, y = 4, z = 0
LD: 0x21 -> x = 0, y = 4, z = 1
LD: 0x22 -> x = 0, y = 4, z = 2
INC: 0x23 -> x = 0, y = 4, z = 3
INC: 0x24 -> x = 0, y = 4, z = 4
DEC: 0x25 -> x = 0, y = 4, z = 5
LD: 0x26 -> x = 0, y = 4, z = 6
